📡央卫频道,#genre#
CCTV1,http://mdxgh.tpddns.cn:88/mdxgh/cctv1
CCTV2,http://mdxgh.tpddns.cn:88/mdxgh/cctv2
CCTV3,http://mdxgh.tpddns.cn:88/mdxgh/cctv3
CCTV4,http://mdxgh.tpddns.cn:88/mdxgh/cctv4
CCTV5,http://mdxgh.tpddns.cn:88/mdxgh/cctv5
CCTV6,http://mdxgh.tpddns.cn:88/mdxgh/cctv6
CCTV7,http://mdxgh.tpddns.cn:88/mdxgh/cctv7
CCTV8,http://mdxgh.tpddns.cn:88/mdxgh/cctv8
CCTV9,http://mdxgh.tpddns.cn:88/mdxgh/cctv9
CCTV10,http://mdxgh.tpddns.cn:88/mdxgh/cctv10
CCTV11,http://mdxgh.tpddns.cn:88/mdxgh/cctv11
CCTV12,http://mdxgh.tpddns.cn:88/mdxgh/cctv12
CCTV13,http://mdxgh.tpddns.cn:88/mdxgh/cctv13
CCTV14,http://mdxgh.tpddns.cn:88/mdxgh/cctv14
CCTV15,http://mdxgh.tpddns.cn:88/mdxgh/cctv15
CCTV16,http://mdxgh.tpddns.cn:88/mdxgh/cctv16
CCTV17,http://mdxgh.tpddns.cn:88/mdxgh/cctv17
三沙卫视,http://mdxgh.tpddns.cn:88/mdxgh/sansha
东南卫视,http://mdxgh.tpddns.cn:88/mdxgh/dongnan
云南卫视,http://mdxgh.tpddns.cn:88/mdxgh/yunnan
吉林卫视,http://mdxgh.tpddns.cn:88/mdxgh/jilin
四川卫视,http://mdxgh.tpddns.cn:88/mdxgh/sichuan
天津卫视,http://mdxgh.tpddns.cn:88/mdxgh/tianjin
山东卫视,http://mdxgh.tpddns.cn:88/mdxgh/shandong
广东卫视,http://mdxgh.tpddns.cn:88/mdxgh/guangdong
广西卫视,http://mdxgh.tpddns.cn:88/mdxgh/guangxi
新疆卫视,http://mdxgh.tpddns.cn:88/mdxgh/xinjiang
江苏卫视,http://mdxgh.tpddns.cn:88/mdxgh/jiangsu
浙江卫视,http://mdxgh.tpddns.cn:88/mdxgh/zhejiang
海南卫视,http://mdxgh.tpddns.cn:88/mdxgh/hainan
深圳卫视,http://mdxgh.tpddns.cn:88/mdxgh/shenzhen
湖北卫视,http://mdxgh.tpddns.cn:88/mdxgh/hubei
湖南卫视,http://mdxgh.tpddns.cn:88/mdxgh/hunan
西藏卫视,http://mdxgh.tpddns.cn:88/mdxgh/xizang
贵州卫视,http://mdxgh.tpddns.cn:88/mdxgh/guizhou
辽宁卫视,http://mdxgh.tpddns.cn:88/mdxgh/liaoning
重庆卫视,http://mdxgh.tpddns.cn:88/mdxgh/chongqing
青海卫视,http://mdxgh.tpddns.cn:88/mdxgh/qinghai
黑龙江卫视,http://mdxgh.tpddns.cn:88/mdxgh/heilongjiang
安徽卫视,http://mdxgh.tpddns.cn:88/mdxgh/anhui
陕西卫视,http://mdxgh.tpddns.cn:88/mdxgh/shanxi1
河南卫视,http://mdxgh.tpddns.cn:88/mdxgh/henan
兵团卫视,http://mdxgh.tpddns.cn:88/mdxgh/bintuan
内蒙古卫视,http://mdxgh.tpddns.cn:88/mdxgh/neimenggu
宁夏卫视,http://mdxgh.tpddns.cn:88/mdxgh/ningxia
江西卫视,http://mdxgh.tpddns.cn:88/mdxgh/jiangxi
河北卫视,http://mdxgh.tpddns.cn:88/mdxgh/hebei
山西卫视,http://mdxgh.tpddns.cn:88/mdxgh/shanxi2
东方卫视,http://mdxgh.tpddns.cn:88/mdxgh/dongfang
北京卫视,http://mdxgh.tpddns.cn:88/mdxgh/beijing
甘肃卫视,http://mdxgh.tpddns.cn:88/mdxgh/gansu
上海卫视,http://mdxgh.tpddns.cn:88/mdxgh/shanghai
农林卫视,http://mdxgh.tpddns.cn:88/mdxgh/nonglin
厦门卫视,http://mdxgh.tpddns.cn:88/mdxgh/xiamen

📡央视频道,#genre#

CCTV1,http://111.177.107.69:20000/hls/11/index.m3u8
CCTV1,http://111.177.107.69:20000/hls/12/index.m3u8
CCTV10,http://111.177.107.69:20000/hls/9/index.m3u8
CCTV11,http://111.177.107.69:20000/hls/10/index.m3u8
CCTV2,http://111.177.107.69:20000/hls/6/index.m3u8
CCTV5,http://111.177.107.69:20000/hls/3/index.m3u8
CCTV7,http://111.177.107.69:20000/hls/7/index.m3u8
CCTV8,http://111.177.107.69:20000/hls/52/index.m3u8
CCTV9,http://111.177.107.69:20000/hls/8/index.m3u8
CCTVNEWS,http://111.177.107.69:20000/hls/2/index.m3u8
CCTV少儿,http://111.177.107.69:20000/hls/63/index.m3u8
CCTV新闻,http://111.177.107.69:20000/hls/4/index.m3u8
CCTV音乐,http://111.177.107.69:20000/hls/17/index.m3u8
CCTV1,http://113.206.114.34:8005/udp/225.0.4.74:7980
CCTV10,http://113.206.114.34:8005/udp/225.0.4.130:7980
CCTV11,http://113.206.114.34:8005/udp/225.0.4.218:7980
CCTV12,http://113.206.114.34:8005/udp/225.0.4.129:7980
CCTV13,http://113.206.114.34:8005/udp/225.0.4.219:7980
CCTV14,http://113.206.114.34:8005/udp/225.0.4.128:7980
CCTV15,http://113.206.114.34:8005/udp/225.0.4.220:7980
CCTV17,http://113.206.114.34:8005/udp/225.0.4.179:7980
CCTV2,http://113.206.114.34:8005/udp/225.0.4.132:7980
CCTV3,http://113.206.114.34:8005/udp/225.0.4.142:7980
CCTV4,http://113.206.114.34:8005/udp/225.0.4.176:7980
CCTV5,http://113.206.114.34:8005/udp/225.0.4.143:7980
CCTV5,http://113.206.114.34:8005/udp/225.0.4.73:7980
CCTV6,http://113.206.114.34:8005/udp/225.0.4.144:7980
CCTV7,http://113.206.114.34:8005/udp/225.0.4.127:7980
CCTV8,http://113.206.114.34:8005/udp/225.0.4.137:7980
CCTV9,http://113.206.114.34:8005/udp/225.0.4.131:7980
CCTV1,http://171.221.34.38:4022/udp/239.93.0.184:5140
CCTV10,http://171.221.34.38:4022/udp/239.93.1.28:5140
CCTV11,http://171.221.34.38:4022/udp/239.93.0.102:5140
CCTV12,http://171.221.34.38:4022/udp/239.93.1.30:8124
CCTV13,http://171.221.34.38:4022/udp/239.93.0.66:5140
CCTV15,http://171.221.34.38:4022/udp/239.93.0.103:5140
CCTV17,http://171.221.34.38:4022/udp/239.93.0.92:5140
CCTV2,http://171.221.34.38:4022/udp/239.93.1.23:6000
CCTV3,http://171.221.34.38:4022/udp/239.93.1.11:2223
